,artist,vorsongs,week_of_number1,year_of_number1,karrierepunkte,titel,swiss
0,Roland W.,0,1968-01-02,1968,1162,Monja,False
249,Coolio feat. L.V.,0,1995-11-05,1995,2566,Gangsta's Paradise,False
292,No Angels,0,2001-02-25,2001,8415,Daylight In Your Eyes,False
300,Tears,0,2001-12-09,2001,3037,M.U.S.I.C.,True
301,Bro'Sis,0,2001-12-23,2001,2660,I Believe,False
313,Alexander,0,2003-03-30,2003,3540,Take Me Tonight,False
319,Overground,0,2003-11-23,2003,1503,Schick mir 'nen Engel,False
321,Carmen Fenk,0,2004-04-04,2004,1256,In Love With You Again,True
331,Salome,0,2005-05-15,2005,1183,Gumpu,True
340,Tobias Regner,0,2006-04-09,2006,1290,I Still Burn,False
341,Shakira feat. Wyclef Jean,0,2006-04-30,2006,3894,Hips Don't Lie,False
347,U2 and Green Day,0,2006-11-19,2006,461,The Saints Are Coming,False
350,Monrose,0,2006-12-17,2006,5875,Shame,False
353,Beyoncé & Shakira,0,2007-04-29,2007,2101,Beautiful Liar,False
354,Mark Medlock,0,2007-05-27,2007,2327,Now Or Never,False
360,Stefanie Heinzmann,0,2008-01-27,2008,5945,My Man Is A Mean Man,True
363,Madonna & Justin,0,2008-04-27,2008,3210,4 Minutes,False
364,Thomas Godoj,0,2008-06-08,2008,757,Love Is You,False
374,Daniel Schuhmacher,0,2009-05-31,2009,560,Anything But Love,False
375,"Baschi, Bligg, Ritschi, Seven & Stress",0,2009-06-28,2009,1510,Stahn uf,True
381,Mehrzad Marashi,0,2010-05-02,2010,710,Don't Believe,False
396,Pietro Lombardi,0,2011-05-22,2011,1302,Call My Name,False
410,Luca Hänni,0,2012-05-13,2012,1426,Don't Think About Me,True
413,Loreen,0,2012-06-10,2012,3791,Euphoria,False
424,Daft Punk feat. Pharrell Williams,0,2013-05-05,2013,4223,Get Lucky,False
425,Beatrice Egli,0,2013-05-26,2013,1388,Mein Herz,True
432,Shem Thomas,0,2014-04-27,2014,1155,Crossroads,True
433,Aneta Sablik,0,2014-05-11,2014,345,The One,False
436,Lilly Wood & The Prick and Robin Schulz,0,2014-06-15,2014,5156,Prayer In C (Robin Schulz Remix),False
439,Migros Ensemble,0,2014-11-30,2014,1072,Ensemble,True
446,Måns Zelmerlöw,0,2015-05-31,2015,511,Heroes,False
450,Sido feat. Andreas Bourani,0,2015-08-16,2015,3013,Astronaut,False
467,Capital Bra feat. Juju,0,2018-08-12,2018,869,Melodien,False
474,Eno feat. Mero,0,2019-02-17,2019,189,Ferrari,False
